Machine , Scan_ArchiveMaxSize , $(string.Scan_ArchiveMaxSize)
Machine , Scan_AvgCPULoadFactor , $(string.Scan_AvgCPULoadFactor)
Machine , CheckForSignaturesBeforeRunningScan , $(string.CheckForSignaturesBeforeRunningScan)
Machine , Scan_DisableArchiveScanning , $(string.Scan_DisableArchiveScanning)
Machine , Scan_DisableCatchupFullScan , $(string.Scan_DisableCatchupFullScan)
Machine , Scan_DisableCatchupQuickScan , $(string.Scan_DisableCatchupQuickScan)
Machine , Scan_DisableEmailScanning , $(string.Scan_DisableEmailScanning)
Machine , Scan_DisableHeuristics , $(string.Scan_DisableHeuristics)
Machine , Scan_DisablePackedExeScanning , $(string.Scan_DisablePackedExeScanning)
Machine , Scan_DisableRemovableDriveScanning , $(string.Scan_DisableRemovableDriveScanning)
Machine , Scan_DisableReparsePointScanning , $(string.Scan_DisableReparsePointScanning)
Machine , Scan_DisableRestorePoint , $(string.Scan_DisableRestorePoint)
Machine , Scan_DisableScanningMappedNetworkDrivesForFullScan , $(string.Scan_DisableScanningMappedNetworkDrivesForFullScan)
Machine , Scan_DisableScanningNetworkFiles , $(string.Scan_DisableScanningNetworkFiles)
Machine , Scan_LocalSettingOverrideAvgCPULoadFactor , $(string.Scan_LocalSettingOverrideAvgCPULoadFactor)
Machine , Scan_LocalSettingOverrideScanParameters , $(string.Scan_LocalSettingOverrideScanParameters)
Machine , Scan_LocalSettingOverrideScheduleDay , $(string.Scan_LocalSettingOverrideScheduleDay)
Machine , Scan_LocalSettingOverrideScheduleQuickScantime , $(string.Scan_LocalSettingOverrideScheduleQuickScantime)
Machine , Scan_LocalSettingOverrideScheduleTime , $(string.Scan_LocalSettingOverrideScheduleTime)
Machine , Scan_PurgeItemsAfterDelay , $(string.Scan_PurgeItemsAfterDelay)
Machine , Scan_QuickScanInterval , $(string.Scan_QuickScanInterval)
Machine , Scan_ScanOnlyIfIdle , $(string.Scan_ScanOnlyIfIdle)
Machine , Scan_ScanParameters , $(string.Scan_ScanParameters)
Machine , Scan_ScheduleDay , $(string.Scan_ScheduleDay)
Machine , Scan_ScheduleQuickScantime , $(string.Scan_ScheduleQuickScantime)
Machine , Scan_ScheduleTime , $(string.Scan_ScheduleTime)
Machine , Scan_MissedScheduledScanCountBeforeCatchup , $(string.Scan_MissedScheduledScanCountBeforeCatchup)
Machine , Scan_LowCpuPriority , $(string.Scan_LowCpuPriority)
Machine , SignatureUpdate_ASSignatureDue , $(string.SignatureUpdate_ASSignatureDue)
Machine , SignatureUpdate_AVSignatureDue , $(string.SignatureUpdate_AVSignatureDue)
Machine , SignatureUpdate_DefinitionUpdateFileSharesSources , $(string.SignatureUpdate_DefinitionUpdateFileSharesSources)
Machine , SignatureUpdate_SharedSignaturesLocation , $(string.SignatureUpdate_SharedSignaturesLocation)
Machine , SignatureUpdate_DisableScanOnUpdate , $(string.SignatureUpdate_DisableScanOnUpdate)
