VirusThreatProtection,WindowsDefenderSecurityCenter
Display,ControlPanel
Fdeploy_Cat,System
PortableOperatingSystem,WindowsComponents
IESF_NPLRest_Category,IESF_CategoryNetworkProtocolLockdown
Persistence,InternetExplorer
RAC,WindowsComponents
DeferUpdateCat,WindowsUpdateCat
ScriptedDiagnosticsCategory,Troubleshooting
FVECategory,WindowsComponents
Homepage,firefox
Certificates,firefox
Searching,Advanced
PerfTrackCategory,Troubleshooting
Cat_OfflineFiles,Network
Multimedia,Advanced
TS_TERMINAL_SERVER,TS_GP_NODE
HardwareButtons,TabletPC
WCN_Category,Network
Spynet,AntiSpywareDefender
RSS_Feeds,WindowsComponents
InternetCPL_Content_Certificates,InternetCPL_Content
InternetCPL_General_Tabs,InternetCPL_General
IESF_CategoryBinaryBehaviorSecurityRestriction,SecurityFeatures
IESF_CategoryProtectionFromZoneElevation,SecurityFeatures
Network,
Printing_recommended,googlechrome_recommended
SecurityCenter,WindowsComponents
SettingSync,WindowsComponents
CloudContent,WindowsComponents
CategoryCompatView,InternetExplorer
MitOptions,System
DCOM,System
TS_TEMP,TS_TERMINAL_SERVER
ActiveDesktop,Desktop
W32TIME_ROOT,System
PowerVideoSettingsCat,PowerManagementCat
FamilyOptions,WindowsDefenderSecurityCenter
BootScenarioCategory,Troubleshooting
Startup,googlechrome
firefox,Cat_Mozilla
TS_PROFILES,TS_TERMINAL_SERVER
TS_CONNECTIONS,TS_TERMINAL_SERVER
HomeGroup,WindowsComponents
AccountProtection,WindowsDefenderSecurityCenter
Channels,InternetExplorer
WMPNETWORK,WMPCat
ExploitGuard,AntiSpywareDefender
NetworkRealtimeInspection,AntiSpywareDefender
HTTPAuthentication,googlechrome
NetMeeting,WindowsComponents
Accessories,TabletPC
EventLog_Application,EventLogCategory
TS_CLIENT,TS_GP_NODE
PenFlicksLearning,TabletPC
DSHACategory,System
AutoPlay,WindowsComponents
WindowsComponents,
UISettings_Category,WwanSvc_Category
InternetCPL_General_Search,InternetCPL_General
InternetCPL,InternetExplorer
IZ_TrustedSitesZoneLockdown,IZ_SecurityPage
FaceConfiguration,BiometricsConfiguration
CAT_Reporting,CAT_AppV
LLTD_Category,Network
DeliveryOptimizationCat,WindowsComponents
AntiSpywareDefender,WindowsComponents
System,
IZ_LocalMachineZone,IZ_SecurityPage
IESF_CategoryLocalMachineZoneLockdownSecurity,SecurityFeatures
WMDRMCat,WindowsComponents
Exclusions,AntiSpywareDefender
Shell,SmartScreen
AppSharing,NetMeeting
AM_AM,WindowsComponents
